Task,Model,Fold,C-index,IBS,AUC_mean,AUC_t=673.2,AUC_t=1517.5,AUC_t=2406.0,AUC_t=446.8,AUC_t=1330.0,AUC_t=2215.0,AUC_t=501.5,AUC_t=1345.0,AUC_t=2068.5,AUC_t=563.0,AUC_t=1399.0,AUC_t=2304.0,AUC_t=515.5,AUC_t=1339.5,AUC_t=2156.0,AUC_t=563.5,AUC_t=1321.0,AUC_t=2208.8,AUC_t=521.8,AUC_t=1448.0,AUC_t=2178.2,AUC_t=476.5,AUC_t=1325.0,AUC_t=2277.0,AUC_t=568.5,AUC_t=1352.0,AUC_t=2330.5,AUC_t=576.2,AUC_t=1418.5,AUC_t=2218.2,AUC_t=508.0,AUC_t=1276.0,AUC_t=2221.0,AUC_t=495.0,AUC_t=1273.0,AUC_t=2152.0,AUC_t=440.5,AUC_t=1344.5,AUC_t=2069.8,AUC_t=451.8,AUC_t=1220.0,AUC_t=2000.5,AUC_t=473.0,AUC_t=1367.0,AUC_t=2166.0,AUC_t=457.5,AUC_t=1400.0,AUC_t=2357.0,AUC_t=361.0,AUC_t=1227.0,AUC_t=2029.5,AUC_t=370.0,AUC_t=1130.0,AUC_t=2030.8,AUC_t=453.2,AUC_t=1346.5,AUC_t=2161.5,AUC_t=454.0,AUC_t=1366.5,AUC_t=2276.0
CV Mortality,Embedding Cox,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Mortality,Kaplan-Meier,2,0.5,0.11527971560262967,0.5,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Mortality,Multivariate Cox,2,0.8065412394115025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Mortality,DeepSurv,2,4.046551528787168e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Mortality,DeepHit,2,0.8147893365274114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Mortality,TorchSurv (Custom),2,0.7892429781542577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Mortality,RSF,2,0.8051288452964779,0.09280174866044748,0.8313661970945765,,,,,,,,,,,,,,,,,,,0.8163882757536959,0.8290232835855318,0.845546185440387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Mortality,GBSA,2,0.8048756130182791,0.09226728831545239,0.8280591983218645,,,,,,,,,,,,,,,,,,,0.8084978240968292,0.8282004083370134,0.8438655109109571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Mortality,Embedding Cox,2,0.7897672759696834,0.1361716267018494,0.8221102489580834,,,,,,,,,,,,,,,,,,,0.8316010568843484,0.8205730587417366,0.8156860430943758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Mortality,Kaplan-Meier,3,0.5,0.12071378116453,0.5,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Mortality,Multivariate Cox,3,0.7813707719753603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Mortality,DeepSurv,3,1.642386716376238e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Mortality,DeepHit,3,0.7977564997454301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Mortality,TorchSurv (Custom),3,0.7714676934407299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Mortality,RSF,3,0.7921032780262485,0.09779574765326277,0.8230476880305666,,,,,,,,,,,,,,,,,,,,,,0.8196042695683021,0.8165097843320074,0.8311744062174238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Mortality,GBSA,3,0.7925608932076321,0.09639923264804565,0.8190823071885397,,,,,,,,,,,,,,,,,,,,,,0.8115938325585426,0.8094391269186665,0.832982304524274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Mortality,Embedding Cox,3,0.641923270804509,0.14388818126374253,0.6696917149964389,,,,,,,,,,,,,,,,,,,,,,0.6934086116357925,0.6640298656544599,0.6555284827497392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Mortality,Kaplan-Meier,4,0.5,0.12031468416200373,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Mortality,Multivariate Cox,4,0.7891362737043001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Mortality,DeepSurv,4,2.4315912333030734e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Mortality,DeepHit,4,0.7706968940474647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Mortality,TorchSurv (Custom),4,0.7760494000007369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Mortality,RSF,4,0.7815575295578391,0.09666903025544796,0.8221422413563709,,,,,,,,,,,,,,,,,,,,,,,,,0.8356856717628285,0.8131953589012357,0.8189913209203662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV Mortality,GBSA,4,0.7845123923704116,0.0948142324398885,0.8208615669939175,,,,,,,,,,,,,,,,,,,,,,,,,0.8229523220939877,0.8132157233385937,0.8255423620765698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
