dataset,n_bins_requested,n_bins_actual,total_events,min_events_per_bin,median_events_per_bin,bins_lt5_events,empty_bins,valid_samples_last_bin,valid_samples_drop_pct
SS_RHC,300,271,269,0,1.0,270,62,269,57.6
SS_RHC,500,428,269,0,0.0,427,219,269,57.6
SS_RHC,1000,818,269,0,0.0,817,609,269,57.6
SS_ROTT2,10,10,1272,127,127.0,0,0,1280,56.9
SS_ROTT2,20,20,1272,63,64.0,0,0,1280,56.9
SS_ROTT2,30,30,1272,41,42.0,0,0,1280,57.0
SS_ROTT2,50,50,1272,22,25.0,0,0,1280,57.0
SS_ROTT2,100,100,1272,9,13.0,0,0,1280,57.0
SS_ROTT2,300,300,1272,1,4.0,210,0,1280,57.0
SS_ROTT2,500,497,1272,0,3.0,493,4,1280,57.1
SS_ROTT2,1000,977,1272,0,1.0,975,92,1280,57.1
SS_SUPPORT2,10,10,280,26,27.5,0,0,335,36.8
SS_SUPPORT2,20,20,280,12,14.0,0,0,335,36.8
SS_SUPPORT2,30,30,280,8,9.0,0,0,335,36.8
SS_SUPPORT2,50,50,280,4,6.0,4,0,335,36.8
SS_SUPPORT2,100,100,280,0,3.0,98,3,335,36.8
SS_SUPPORT2,300,274,280,0,1.0,274,69,335,36.8
SS_SUPPORT2,500,420,280,0,0.0,420,215,335,36.8
SS_SUPPORT2,1000,789,280,0,0.0,789,584,335,36.8
SS_TRACE,10,10,958,95,96.0,0,0,1003,46.4
SS_TRACE,20,20,958,47,48.0,0,0,1003,46.5
SS_TRACE,30,30,958,31,32.0,0,0,1003,46.5
SS_TRACE,50,50,958,19,19.0,0,0,1003,46.6
SS_TRACE,100,100,958,9,10.0,0,0,1003,46.6
SS_TRACE,300,300,958,3,3.0,300,0,1003,46.6
SS_TRACE,500,500,958,1,2.0,500,0,1003,46.6
SS_TRACE,1000,1000,958,0,1.0,1000,43,1003,46.6
SS_VETERAN,10,10,128,11,13.0,0,0,128,6.6
SS_VETERAN,20,20,128,5,6.0,0,0,128,6.6
SS_VETERAN,30,30,128,2,4.0,20,0,128,6.6
SS_VETERAN,50,50,128,0,2.5,49,1,128,6.6
SS_VETERAN,100,96,128,0,1.0,96,19,128,6.6
SS_VETERAN,300,248,128,0,0.0,248,152,128,6.6
SS_VETERAN,500,401,128,0,0.0,401,305,128,6.6
SS_VETERAN,1000,780,128,0,0.0,780,684,128,6.6
SS_VLBW,10,10,36,0,3.0,8,1,36,86.0
SS_VLBW,20,18,36,0,2.0,17,3,36,86.0
SS_VLBW,30,26,36,0,1.0,25,6,36,86.0
SS_VLBW,50,38,36,0,1.0,37,15,36,86.0
SS_VLBW,100,72,36,0,0.0,71,49,36,86.0
SS_VLBW,300,203,36,0,0.0,202,180,36,86.0
SS_VLBW,500,334,36,0,0.0,333,311,36,86.0
SS_VLBW,1000,663,36,0,0.0,662,640,36,86.0
SS_WHAS500,10,10,176,15,17.5,0,0,176,61.8
SS_WHAS500,20,20,176,6,9.0,0,0,176,61.8
SS_WHAS500,30,30,176,3,6.0,1,0,176,61.8
SS_WHAS500,50,50,176,1,3.0,49,0,176,61.8
SS_WHAS500,100,97,176,1,2.0,97,0,176,61.8
SS_WHAS500,300,276,176,0,1.0,276,123,176,61.8
SS_WHAS500,500,452,176,0,0.0,452,299,176,61.8
SS_WHAS500,1000,888,176,0,0.0,888,735,176,61.8
SUPPORT2,10,10,6036,541,600.0,0,0,6185,30.3
SUPPORT2,20,20,6036,220,301.5,0,0,6185,30.3
SUPPORT2,30,30,6036,142,200.5,0,0,6185,30.3
SUPPORT2,50,47,6036,84,121.0,0,0,6185,30.3
SUPPORT2,100,85,6036,28,61.0,0,0,6185,30.3
SUPPORT2,300,206,6036,0,21.0,3,3,6185,30.3
SUPPORT2,500,300,6036,0,13.0,8,6,6185,30.3
SUPPORT2,1000,498,6036,0,6.0,76,27,6185,30.3
SUPPORT_CR,10,10,6201,550,614.0,0,0,6355,30.2
SUPPORT_CR,20,20,6201,226,309.0,0,0,6355,30.2
SUPPORT_CR,30,30,6201,144,206.0,0,0,6355,30.2
SUPPORT_CR,50,47,6201,58,124.0,0,0,6355,30.2
SUPPORT_CR,100,85,6201,28,62.0,0,0,6355,30.2
SUPPORT_CR,300,205,6201,0,21.0,1,1,6355,30.2
SUPPORT_CR,500,302,6201,0,13.0,7,6,6355,30.2
SUPPORT_CR,1000,496,6201,0,7.0,73,27,6355,30.2
SYNTHETIC_CR,10,10,15000,983,1481.0,0,0,15000,40.3
SYNTHETIC_CR,20,18,15000,485,747.5,0,0,15000,40.3
SYNTHETIC_CR,30,25,15000,316,495.0,0,0,15000,40.3
SYNTHETIC_CR,50,36,15000,161,313.0,0,0,15000,40.3
SYNTHETIC_CR,100,54,15000,98,163.0,0,0,15000,40.3
SYNTHETIC_CR,300,91,15000,28,66.0,0,0,15000,40.3
SYNTHETIC_CR,500,110,15000,0,51.0,1,1,15000,40.3
SYNTHETIC_CR,1000,137,15000,0,31.0,4,4,15000,40.3
VETERANS,10,10,128,11,13.0,0,0,128,6.6
VETERANS,20,20,128,5,6.0,0,0,128,6.6
VETERANS,30,30,128,2,4.0,20,0,128,6.6
VETERANS,50,50,128,0,2.5,49,1,128,6.6
VETERANS,100,96,128,0,1.0,96,19,128,6.6
VETERANS,300,248,128,0,0.0,248,152,128,6.6
VETERANS,500,401,128,0,0.0,401,305,128,6.6
VETERANS,1000,780,128,0,0.0,780,684,128,6.6
WHAS500,10,10,215,15,21.0,0,0,215,57.0
WHAS500,20,20,215,7,11.0,0,0,215,57.0
WHAS500,30,30,215,0,7.0,2,1,215,57.0
WHAS500,50,48,215,2,4.0,33,0,215,57.0
WHAS500,100,92,215,0,2.0,89,4,215,57.0
WHAS500,300,255,215,0,1.0,252,94,215,57.0
WHAS500,500,401,215,0,0.0,398,240,215,57.0
WHAS500,1000,776,215,0,0.0,773,615,215,57.0
